title,description,location,salary,posted_date
Maquiador,"Officiis eaque dolore illo. Unde quasi occaecati quae.
Illo maiores dolore iusto repellat consectetur. Similique quia cum dolorem.",Teixeira Paulista,5482.32,2025-04-25 21:24:16
Engenheiro cartográfico,Eos nulla nihil recusandae fugiat neque. Officiis quasi repellendus quas quibusdam suscipit voluptate.,Borges de Aparecida,9598.34,2025-04-25 21:24:16
Almirante,Dolorum placeat nobis ad occaecati. Aut in ratione rem tempore. Quas esse placeat culpa aspernatur cupiditate occaecati.,Porto,2437.66,2025-04-25 21:24:16
Auxiliar de reprografia,"Quae nobis beatae. Cum sapiente non quo beatae dicta reprehenderit. Iure molestiae omnis debitis ipsam reprehenderit.
Libero nulla amet quod magnam quibusdam. Nesciunt odio voluptas.",Fonseca de Cassiano,6076.13,2025-04-25 21:24:16
Porteiro,Ad placeat deserunt suscipit. Illum quia voluptates soluta earum neque.,Cassiano de Moura,9657.98,2025-04-25 21:24:16
Engenheiro civil,"Voluptates nihil reprehenderit.
Magnam fugit odit error repudiandae. Nemo dolor explicabo in. Magnam libero quos velit.
Porro eum ea ipsam at eaque. In mollitia consequatur quod.",Costela,2517.84,2025-04-25 21:24:16
Coordenador,Recusandae enim voluptate odit vitae aut itaque consectetur. Modi modi ut. Perspiciatis praesentium nihil nobis cupiditate.,Duarte,6440.3,2025-04-25 21:24:16
Corretor da bolsa de valores,Iusto culpa ex blanditiis. Necessitatibus quo adipisci nulla nostrum laborum. Debitis dolore saepe minus labore doloribus.,Vargas,4272.66,2025-04-25 21:24:16
Auditor,Amet sit magni excepturi molestiae. Dignissimos delectus assumenda impedit error alias. Occaecati aperiam ipsa sunt nemo ipsa doloremque.,Pacheco,6023.4,2025-04-25 21:24:16
Engenheiro de controle e automação,Necessitatibus laboriosam expedita nostrum blanditiis. Inventore alias modi impedit adipisci amet. Explicabo eum nemo nesciunt.,Sales,3757.99,2025-04-25 21:24:16
Militar do Exército,Et saepe totam odio occaecati. Molestiae expedita eveniet aperiam. Veritatis ut suscipit veritatis sit nesciunt officiis.,Ferreira,7950.78,2025-04-25 21:24:16
Baixista,"Quos laborum nobis tempora quia quam quae. Illum eaque eaque sequi.
Quae amet nemo. Quod adipisci ea dolorum unde.",Sousa Verde,4419.84,2025-04-25 21:24:16
Fundidor de placa de gesso,Aliquam neque nesciunt sequi vitae sed cumque. Consequuntur hic cupiditate mollitia possimus necessitatibus. Facilis magnam amet et vitae eveniet sapiente.,Souza,7593.21,2025-04-25 21:24:16
Contatólogo,"Dolores ratione eius. Aliquam soluta quis.
Vel odio architecto illo quasi. Exercitationem deleniti explicabo doloremque provident eligendi corporis.",da Mota,8175.6,2025-04-25 21:24:16
Intérprete de Bíblias,Quibusdam repellendus similique vel ducimus deleniti. Doloremque voluptatem doloremque quaerat cumque. Placeat incidunt beatae. Maxime quia et tenetur natus facilis molestiae.,Aparecida,2487.23,2025-04-25 21:24:16
Funileiro,Earum magni hic porro nesciunt enim eius quasi. Exercitationem iure beatae quis fugit nisi harum. Animi corporis ea tenetur cupiditate soluta voluptatibus necessitatibus.,Brito de Silva,7157.03,2025-04-25 21:24:16
Caminhoneiro,Occaecati placeat voluptate porro. Laborum ratione repellat sapiente.,Lopes,6724.08,2025-04-25 21:24:16
Ferreiro,"Culpa totam laudantium blanditiis voluptas. Itaque veniam officiis blanditiis.
Incidunt iure eum magnam. Voluptate odit facilis fugit officiis corporis sit.",Vargas de Minas,2246.25,2025-04-25 21:24:16
Juiz de futebol,Harum aperiam id minima minima nihil eveniet. Illo dicta aut quam. Dicta sapiente nobis dignissimos eum quia totam.,Aparecida,6005.99,2025-04-25 21:24:16
Astrônomo,"Eos odio mollitia ab. Voluptas eveniet odio quisquam quidem a.
Optio dolorem iusto vel voluptatem saepe dolorum. Beatae a neque soluta tenetur voluptate earum enim. Ullam quaerat sapiente asperiores.",Vargas da Mata,8282.91,2025-04-25 21:24:16
Montador de negativos,Neque in incidunt ab cumque qui eaque. Non voluptatum dolorum placeat. Nihil assumenda ducimus nostrum distinctio nihil cupiditate. Praesentium maiores animi et.,Melo,3218.49,2025-04-25 21:24:16
Biotecnólogo,"Magni modi velit asperiores expedita nisi. Consequatur error illum distinctio.
Ea dolorum earum sed qui. Minus nam nam vero eaque libero autem. Amet aliquam neque laboriosam error quaerat natus.",Moura,5451.55,2025-04-25 21:24:16
Baterista,Corrupti necessitatibus et fuga deleniti cupiditate. Porro officiis maiores sed dicta assumenda odit nam. Fuga eos vero dignissimos molestias animi.,da Conceição da Serra,8894.81,2025-04-25 21:24:16
Historiador,"Occaecati quidem reiciendis neque necessitatibus ratione reiciendis quod. Possimus sit nam nam voluptatum.
Eligendi numquam debitis tenetur facere expedita facere. Ullam cum natus nobis assumenda.",Leão,3466.7,2025-04-25 21:24:16
Cadeirinha,"Aliquam ad iusto. Ea incidunt vel.
Ad temporibus ea culpa cumque. Molestias labore doloribus laborum ullam asperiores a consequuntur. Distinctio corporis vel quis non et praesentium.",Moreira de Rezende,2473.63,2025-04-25 21:24:16
Costureira,"Eius at cumque optio. Dicta fuga voluptates quos distinctio.
Voluptatem rem ipsa. Esse ad reiciendis vero perspiciatis. Soluta velit modi sapiente eos placeat incidunt.",Vargas,9891.49,2025-04-25 21:24:16
Profissional de comércio exterior,"Labore temporibus nulla nam.
Explicabo distinctio ratione assumenda. Fuga iure ipsa odio quo libero. Libero nihil pariatur accusamus possimus ab.",Marques da Serra,8365.77,2025-04-25 21:24:16
Engenheiro de minas,Expedita corporis nulla nesciunt architecto magnam. Aperiam repellat explicabo eos soluta. Dolore hic inventore fugiat minima aliquam rerum.,Teixeira Grande,2825.77,2025-04-25 21:24:16
Mecanógrafo,"A quae expedita vel excepturi. Quo illum eum odio nisi. Vel labore tenetur quia.
Ipsum odio unde. Quod incidunt laudantium expedita nesciunt.",Cavalcante,7873.85,2025-04-25 21:24:16
Profissional de relações públicas,Quo quisquam rerum eligendi nam quos distinctio. Blanditiis porro officiis nobis. Corporis cumque ut.,da Conceição da Mata,7989.18,2025-04-25 21:24:16
Jogador de hóquei,Facere dolores ipsam adipisci. Sed officia sit animi labore velit. Repudiandae sapiente excepturi aspernatur.,da Cruz,6617.19,2025-04-25 21:24:16
Operador de bombas,"Accusantium distinctio et eos doloribus.
Nostrum officia beatae soluta totam. Ipsum odio architecto repellendus numquam.",Mendes Verde,9329.91,2025-04-25 21:24:16
Lanterneiro,"Provident voluptate illum consequatur quisquam laudantium quasi. Saepe aperiam quia consectetur.
Id minus tempore soluta. Necessitatibus saepe sequi quas.",Novaes,4836.73,2025-04-25 21:24:16
Biomédico,"Qui explicabo quas dolorem laborum.
Hic vel nobis. Dicta nam ipsum illum eum debitis. Magni dolorum dignissimos vitae aut quisquam.",Santos Verde,4036.23,2025-04-25 21:24:16
Mecânico,Inventore explicabo iste. Esse enim nemo. A doloribus iure neque. Odit nam accusamus molestiae.,Macedo,8681.52,2025-04-25 21:24:16
Pianista,Error ad quidem dolorum consequuntur. Nesciunt id itaque quo suscipit eligendi ducimus. Exercitationem rem recusandae eius.,Sales do Sul,5647.96,2025-04-25 21:24:16
Operador de vídeo,"Iste explicabo suscipit tempora.
Officia odio recusandae neque tenetur qui cumque. Iste animi voluptatibus ducimus ratione qui. Qui quibusdam ratione enim.",Monteiro Verde,9663.49,2025-04-25 21:24:16
Artista/Técnico em espetáculos de diversões,Dignissimos consequatur quam expedita. Quia consectetur atque neque incidunt. Voluptatum occaecati error nihil nam pariatur. Soluta laudantium sequi optio.,Pereira de Cunha,4299.84,2025-04-25 21:24:16
Geriatra,Provident dicta corporis adipisci reprehenderit tenetur aliquam. Consectetur cum provident expedita aspernatur.,Alves do Campo,3711.09,2025-04-25 21:24:16
Tecelão,Eaque odit molestias. Sit blanditiis laudantium debitis tempora veniam quisquam. Maxime rerum accusantium quia ad nihil. Dolor mollitia optio adipisci repudiandae alias.,da Costa de Goiás,6446.5,2025-04-25 21:24:16
Cameraman,Deserunt at repellat placeat pariatur assumenda placeat. Voluptas maiores consequatur cum iste. Dolor quos porro voluptate odit.,Silva,6435.64,2025-04-25 21:24:16
Técnico em desporto,"Perspiciatis ullam nemo molestias eaque reprehenderit ipsa. Cumque nam vel commodi cum.
Aliquid nostrum debitis aliquid. Vitae deserunt accusamus quo. Consectetur voluptatum magni.",Cavalcanti,4051.39,2025-04-25 21:24:16
Consultor de moda,Assumenda necessitatibus soluta. Quaerat aliquid tenetur facere mollitia voluptatem voluptatem. Deleniti beatae sint sapiente possimus dolor dignissimos.,Carvalho,2139.66,2025-04-25 21:24:16
Soldador,"Sint deleniti nobis ipsam quaerat iusto. Dolorem nulla recusandae aspernatur. Consequuntur autem ea quas corporis.
Quo quibusdam perferendis quos facilis. Nostrum quod natus exercitationem.",Araújo,6648.63,2025-04-25 21:24:16
Terapeuta floral,Aspernatur veniam ut aut tempore ea animi. Suscipit sequi aliquid fugiat. Eum nostrum quae vitae. Corrupti ea iste culpa molestias officiis ipsa.,Borges da Prata,7979.86,2025-04-25 21:24:16
Balconista,Velit fugit assumenda quaerat dolore dignissimos ea. Reiciendis delectus omnis error inventore commodi.,Araújo,9223.83,2025-04-25 21:24:16
Militar do Exército,Deserunt excepturi repudiandae. Repudiandae magnam asperiores doloremque. Modi est expedita molestiae odio ipsa enim. Iusto omnis a sed.,Castro,8597.0,2025-04-25 21:24:16
Lixeiro/Coletor de lixo,"Nisi nulla voluptatibus animi ipsa ea. Quas a necessitatibus.
Impedit quam odit iure aspernatur officia at. Saepe amet rerum ab minus iusto.",da Rosa,8269.15,2025-04-25 21:24:16
Sonoplasta,Recusandae eum animi labore totam commodi ipsam. Ipsum voluptatum eos architecto aspernatur suscipit. Culpa consectetur iusto.,Cirino,5274.04,2025-04-25 21:24:16
Leiteiro,Dolorum perspiciatis qui recusandae facere quam maiores quisquam. Tempora veniam animi natus sed. Aliquid at adipisci adipisci corporis nesciunt.,Pinto,1824.23,2025-04-25 21:24:16
